name	group	status	full_length	truncated	gtex_brain_region
TCGA.27.1832.01A.01R.1850.01.1	GBM	truncated	1.15644239792248	22.1730327741516	NA
TCGA.27.1831.01A.01R.1850.01.1	GBM	truncated	0.150653566845789	0.617627218011327	NA
TCGA.28.5216.01A.01R.1850.01.1	GBM	truncated	5.14208194424013	139.266934996383	NA
TCGA.16.0846.01A.01R.1850.01.1	GBM	truncated	1.82745196753319	32.9272590021598	NA
TCGA.28.5218.01A.01R.1850.01.1	GBM	truncated	0.133355287824966	2.50715522871433	NA
TCGA.06.0178.01A.01R.1849.01.1	GBM	truncated	1.94808425991159	25.2122109282594	NA
TCGA.06.0238.01A.02R.1849.01.1	GBM	truncated	1.15217838569338	4.40166831967057	NA
TCGA.06.0125.01A.01R.1849.01.1	GBM	truncated	4.47527022457035	65.026506017117	NA
TCGA.06.0219.01A.01R.1849.01.1	GBM	truncated	0.799837668202449	6.74516591667245	NA
TCGA.06.0125.02A.11R.2005.01.1	GBM	truncated	11.5506814108604	226.556785526451	NA
TCGA.06.0174.01A.01R.1849.01.1	GBM	truncated	3.05915325974314	18.573306717099	NA
TCGA.28.1747.01C.01R.1850.01.1	GBM	truncated	1.21414258800414	8.15982605411205	NA
TCGA.12.0616.01A.01R.1849.01.1	GBM	truncated	0.643549697823395	5.75851709934947	NA
TCGA.06.5415.01A.01R.1849.01.1	GBM	truncated	2.50144177256708	33.6113065402038	NA
TCGA.28.2499.01A.01R.1850.01.1	GBM	truncated	0.933862730730264	28.0968173488999	NA
TCGA.06.5411.01A.01R.1849.01.1	GBM	truncated	4.79180116439152	39.6797442978336	NA
TCGA.06.0171.02A.11R.2005.01.1	GBM	truncated	2.73735983644583	75.5872978249967	NA
TCGA.19.1787.01B.01R.1850.01.1	GBM	truncated	2.46165736788849e-37	46.3002934927887	NA
TCGA.27.1835.01A.01R.1850.01.1	GBM	truncated	0.161294251115381	2.81394431414029	NA
TCGA.28.5213.01A.01R.1850.01.1	GBM	truncated	1.89224111434213	33.5487697725582	NA
TCGA.06.2561.01A.02R.1849.01.1	GBM	truncated	1.58145920237038	41.2100697777405	NA
TCGA.14.2554.01A.01R.1850.01.1	GBM	truncated	1.51731251819768	13.9045944985092	NA
TCGA.06.2563.01A.01R.1849.01.1	GBM	truncated	1.2751106664609	2.78220876525149	NA
TCGA.41.3915.01A.01R.1850.01.1	GBM	truncated	3.29072089295561	105.243476006675	NA
TCGA.76.4932.01A.01R.1850.01.1	GBM	truncated	0.0742942112185312	3.63274526405209	NA
TCGA.06.5412.01A.01R.1849.01.1	GBM	truncated	0.747084900241111	6.04206820360124	NA
TCGA.26.5135.01A.01R.1850.01.1	GBM	truncated	2.0203364291427	19.4854493178188	NA
TCGA.16.1045.01B.01R.1850.01.1	GBM	truncated	0.848520403887518	45.1252766782003	NA
TCGA.06.0141.01A.01R.1849.01.1	GBM	truncated	0.697009534409401	12.7206756495872	NA
TCGA.06.2557.01A.01R.1849.01.1	GBM	truncated	0.981719324392151	14.339512123731	NA
TCGA.06.0157.01A.01R.1849.01.1	GBM	truncated	1.32178764195994	40.222804590362	NA
TCGA.28.1753.01A.01R.1850.01.1	GBM	truncated	0.99851177116167	10.9882122905203	NA
TCGA.26.5139.01A.01R.1850.01.1	GBM	truncated	1.09618943123434	20.1358491859793	NA
TCGA.06.2559.01A.01R.1849.01.1	GBM	truncated	0.188774611829738	16.6094262204767	NA
TCGA.28.2509.01A.01R.1850.01.1	GBM	truncated	4.78263471258387	102.233362327164	NA
TCGA.26.5136.01B.01R.1850.01.1	GBM	truncated	0.733474015540498	7.91035475953863	NA
TCGA.76.4928.01B.01R.1850.01.1	GBM	truncated	6.48506355804906e-05	18.3782412853316	NA
TCGA.32.5222.01A.01R.1850.01.1	GBM	truncated	1.49182448373184	23.6499004720233	NA
TCGA.12.1597.01B.01R.1849.01.1	GBM	truncated	3.91624364100456	37.6060068734119	NA
TCGA.06.2567.01A.01R.1849.01.1	GBM	truncated	1.87233772431569	73.9816610285506	NA
TCGA.27.2526.01A.01R.1850.01.1	GBM	truncated	0.741592011474239	13.4170481151276	NA
TCGA.28.2513.01A.01R.1850.01.1	GBM	truncated	0.656754843385408	21.8396834028767	NA
TCGA.32.2615.01A.01R.1850.01.1	GBM	truncated	3.23357497013953	113.381354039997	NA
TCGA.19.1389.02A.21R.2005.01.1	GBM	truncated	0.817944463791419	28.3563846501337	NA
TCGA.27.1834.01A.01R.1850.01.1	GBM	truncated	4.54984996493461	113.418886356183	NA
TCGA.14.0787.01A.01R.1849.01.1	GBM	truncated	0.491120690868843	5.93861211207938	NA
TCGA.06.5418.01A.01R.1849.01.1	GBM	truncated	0.989709064007787	33.7978603269623	NA
TCGA.12.5295.01A.01R.1849.01.1	GBM	truncated	1.53836249612539	13.5985988209181	NA
TCGA.12.3650.01A.01R.1849.01.1	GBM	truncated	1.50509546636788	5.24357519862814	NA
TCGA.28.5220.01A.01R.1850.01.1	GBM	truncated	2.68419444958392	46.9374017951226	NA
TCGA.06.0190.01A.01R.1849.01.1	GBM	truncated	0.762890636403708	15.6493678751144	NA
TCGA.02.2483.01A.01R.1849.01.1	GBM	truncated	1.29222825092332	11.0386924223898	NA
TCGA.06.5417.01A.01R.1849.01.1	GBM	truncated	10.5986749463545	156.929233775657	NA
TCGA.14.1825.01A.01R.1850.01.1	GBM	truncated	4.58702096227107	68.4124099960642	NA
TCGA.12.0618.01A.01R.1849.01.1	GBM	truncated	12.6057161651584	192.74135533824	NA
TCGA.06.5413.01A.01R.1849.01.1	GBM	truncated	0.541190191730707	27.7484314060647	NA
